"collection_number","days_since_previous","collected_at","url","user_id","username","title","hashtags","audio_name","location_name","ad","uploaded_at","video_duration_seconds","days_since_upload","view_count","like_count","comment_count","repost_count","follower_count","reaction_rate","view_count_change","like_count_change","comment_count_change","repost_count_change","follower_count_change","reaction_rate_change"
"1","","2026-08-30T06:08:05.495Z","","","6m.b1tionn_","제주도 08년생 ootd …","#제주도 #08 #추천 #패션 #청자켓","Snoh Aalegra · Nothing Burns Like The Cold (feat. Vince Staples)","","false","","","","","15752","117","191","","","","","","","",""
"1","","2026-08-30T06:08:13.675Z","","","","","","","","false","","","","","","","","","","","","","","",""
"1","","2026-08-30T06:15:22.378Z","","","sori.__.i","…","#제품제공 #협찬","Modern Talking · Brother Louie Mix '98 (feat. Eric Singleton)","","협찬","","","","","10774","87","8","","","","","","","",""
"1","","2026-08-30T06:21:17.030Z","","","keita_earth",". @keita_earth ootd⭐️ …","","","","false","","","","6203885","293211","262","1004","","","","","","","",""
"1","","2026-08-30T06:21:27.171Z","","","street.fit1006","여름에는 덥게 입는게 패션입니다. …","","KayArchonn, where.t.at · she goes by. (KayArchon Remix)","","false","","","","144772","4439","14","55","","","","","","","",""
"1","","2026-08-30T06:21:36.910Z","","","n.vkhanh","Chill guy with phone in mouth 💁🏻‍♂️ …","","","","false","","","","10705947","448185","337","4070","","","","","","","",""
"1","","2026-08-30T06:21:47.006Z","","","leefit0211","티셔츠 직접 크롭함 …","","","","false","","","","2660663","14127","457","369","","","","","","","",""
"1","","2026-08-30T06:21:56.796Z","","","chiprooma","new jeaningtons from @drmersclub …","","Steve Lacy · Dark Red","","false","","","","3595122","246525","757","229","","","","","","","",""
"1","","2026-08-30T06:22:07.320Z","","","jazzyeungsy","typee …","","","","false","","","","55977767","3877989","6482","180548","","","","","","","",""
"1","","2026-08-30T06:22:17.366Z","","","6m.b1tionn_","다들 설날이라고 친척들 만날 때 나는 릴스 찍는다. …","#08","","","false","","","","383117","8198","54","91","","","","","","","",""
"1","","2026-08-30T06:22:27.093Z","","","yourfirstjoker","Business core in summer 🥸 …","","","","false","","","","603477","38608","197","6","","","","","","","",""
"1","","2026-08-30T06:22:37.337Z","","","kimsilmool","대기업 직장인의 -WEEKEND OOTD- …","","Lee Hyori · 10 Minutes","","false","","","","2318380","8850","424","316","","","","","","","",""
"1","","2026-08-30T06:22:48.586Z","","","chaet_","…","#ootdstyle #ootd #vintage","Bruno Mars · That's What I Like (PARTYNEXTDOOR Remix)","","false","","","","3450093","282207","420","7647","","","","","","","",""
"1","","2026-08-30T06:22:58.945Z","","","6m.b1tionn_","추위 따위는 나를 이길 수 없는 코디 …","#08 #제주도 #ootd","","","false","","","","1453571","42539","288","689","","","","","","","",""
"1","","2026-08-30T06:23:46.131Z","","","dongdongtv","2026.01.27 오사카 1일차 룩 …","","XmegaLxl · JET SET!","","false","","","","511694","2150","139","73","","","","","","","",""
"1","","2026-08-30T06:23:56.142Z","","","klnhyunjun","Today’s out fit 🇰🇷 …","","A$AP Rocky · STAY HERE 4 LIFE (feat. Brent Faiyaz)","","false","","","","491084","1540","127","103","","","","","","","",""
"1","","2026-08-30T06:24:06.047Z","","","_koh_0o8","No colors needed.” …","","","","false","","","","1232945","109107","175","7747","","","","","","","",""
"1","","2026-08-30T06:24:17.009Z","","","dongdongtv","2025.10.05 성수동 가는 룩 …","","Mac Miller · Surf","","false","","","","310728","949","66","8","","","","","","","",""
"1","","2026-08-30T06:24:27.142Z","","","mminowk_","시원한 룩 …","#07 #ootd #패션 #코디 #fyp","","","false","","","","35737","457","9","8","","","","","","","",""
"1","","2026-08-30T06:24:37.205Z","","","cove.jc","수학이 제일 싫어요 …","#코디 #코디추천 #학생코디 #ootd","dress, Raf Sandou · Whenever (feat. JUNNY)","","false","","","","163851","2078","155","17","","","","","","","",""
"1","","2026-08-30T06:24:47.222Z","","","ykewxo_","몇번째가 제일 예쁜거같아?! …","","","","false","","","","3604737","114430","529","87","","","","","","","",""
"1","","2026-08-30T06:25:33.485Z","","","warmonacoldnighttt","…","#outfit #fyp #ootd #rawdenim","Funk The World, High and Low HITS, Furacão 2000 · Mimosa 2000 (Slowed)","","false","","","","186855","4703","46","33","","","","","","","",""
"1","","2026-08-30T06:25:44.384Z","","","isaos_i","머리 잘랐어요✂️ …","","The Hyphenate · Sonic the Hedgehog Green Hill Zone Theme","","false","","","","421012","28989","122","1057","","","","","","","",""
"1","","2026-08-30T06:26:31.818Z","","","oot._.daily","Street outfit check 🐵💫 …","","Prod.Nifour, Mc Gw, Cacau Chuu, Storys Funk · Ela kè Leitada - Slowed","","false","","","","1407616","","350","7927","","","","","","","",""
"1","","2026-08-30T06:26:42.228Z","","","skrrrhanoo__official","나는 요즘 겹쳐 입는게 이쁘더라구ㅎ # …","#남자코디 #ootd","RESCENE · Pretty Girl","","false","","","","2769161","14944","147","129","","","","","","","",""
"1","","2026-08-30T06:26:52.225Z","","","tig___00","Outfit Check👀💫 …","","","","false","","","","90345","2156","15","26","","","","","","","",""
"1","","2026-08-30T06:27:03.822Z","","","tinkywinky_hoi","1부터 6까지 세다보면 …","","Lee Hyori · 10 Minutes","","false","","","","456355","43468","96","733","","","","","","","",""
"1","","2026-08-30T06:27:13.832Z","","","jazzyeungsy","kershaw method ?? …","","","","false","","","","2245568","102547","147","3394","","","","","","","",""
"1","","2026-08-30T06:27:23.420Z","","","kimsilmool","직장인의 주말 OOTD …","","Lee Hyori · 10 Minutes","","false","","","","1147076","4357","278","189","","","","","","","",""
"1","","2026-08-30T06:28:10.327Z","","","chaet_","…","#ootdstyle #ootd #vintage #fitcheck","","","false","","","","2162407","155888","244","3434","","","","","","","",""
"1","","2026-08-30T06:28:20.509Z","","","isaos_i","☕️ …","","Justin Bieber · DAISIES","","false","","","","250279","","74","289","","","","","","","",""
"1","","2026-08-30T06:28:30.222Z","","","kz._.03","Today’s outfits 💫❤️‍🔥 …","","","","false","","","","2786827","119527","216","270","","","","","","","",""
